datetime, open, high, low, close, tick_volume, normalized_open, normalized_high, normalized_low, normalized_close, normalized_tick_volume, direction
2014-01-01 16:00:00,  0.89155000,  0.89285000,  0.89115000,  0.89194000,1490.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 00:00:00,  0.89194000,  0.89369000,  0.89080000,  0.89272000,22428.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 08:00:00,  0.89272000,  0.90285000,  0.89229000,  0.90094000,22503.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 16:00:00,  0.90102000,  0.90245000,  0.89874000,  0.89932000,13670.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-03 00:00:00,  0.89933000,  0.90041000,  0.89887000,  0.90020000,7496.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-03 08:00:00,  0.90022000,  0.90373000,  0.89968000,  0.90323000,17362.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-03 16:00:00,  0.90320000,  0.90574000,  0.90308000,  0.90466000,11778.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-06 00:00:00,  0.90481000,  0.90667000,  0.90471000,  0.90548000,7946.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-06 08:00:00,  0.90551000,  0.90701000,  0.90352000,  0.90504000,16704.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-06 16:00:00,  0.90505000,  0.90505000,  0.90197000,  0.90365000,12897.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-07 00:00:00,  0.90366000,  0.90656000,  0.90366000,  0.90634000,7600.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
