datetime, open, high, low, close, tick_volume, normalized_open, normalized_high, normalized_low, normalized_close, normalized_tick_volume, direction
2014-01-01 16:00:00,  1.65623000,  1.65759000,  1.65580000,  1.65759000,1611.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 00:00:00,  1.65744000,  1.66030000,  1.65692000,  1.65919000,20096.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 08:00:00,  1.65917000,  1.65929000,  1.64222000,  1.64282000,23407.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 16:00:00,  1.64282000,  1.64530000,  1.64106000,  1.64442000,15965.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-03 00:00:00,  1.64442000,  1.64586000,  1.64217000,  1.64357000,7813.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-03 08:00:00,  1.64356000,  1.64738000,  1.63952000,  1.64134000,19091.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-03 16:00:00,  1.64134000,  1.64441000,  1.63994000,  1.64151000,11781.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-06 00:00:00,  1.64109000,  1.64158000,  1.63481000,  1.63721000,8245.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-06 08:00:00,  1.63721000,  1.64134000,  1.63374000,  1.64088000,18042.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-06 16:00:00,  1.64089000,  1.64334000,  1.63934000,  1.64145000,12213.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-07 00:00:00,  1.64141000,  1.64188000,  1.63868000,  1.63954000,6553.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-07 08:00:00,  1.63954000,  1.64381000,  1.63764000,  1.63891000,16032.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
